Scientific name,Common name
Ammodytes spp.,Sand lance
Amphipoda,Unclassified amphipods
Anthozoa,Anemones
Animal remains,Unidentified animal remains
Bivalvia,Bivalves
Cancridae,Cancer crabs
Cephalopoda,Unclassified cephalopods
Clupeidae,Herrings
Clupea harengus,Atlantic herring
Cnidarians,Jellies and hydroids
Cottidae,Sculpins
Crangonidae,Crangonid shrimps
Crustacean shrimp,Unclassified shrimp
Crustacea,Unclassified crustaceans
Ctenophora,Comb-jellies
Decapoda crabs,Decapod crabs
Decapoda shrimp,Decapod shrimp
Echinodermata,Unclassified echinoderms
Engraulidae,Anchovies
Euphausiidae,"Euphausiid shrimp, krill"
Fish eggs,Fish eggs
Fish larvae,Fish larvae
Gadiformes,Gadid fish
Gammaridae,Gammarid amphipods
Gastropoda,Snails
Holothuroidea,Sea cucumbers
Hydrozoa,Hydroids
Hyperiidae,Hyperiid amphipods
Illex spp.,Illex squid
Isopoda,Isopods
Lepophidium profundorum,Fawn cusk-eel
Loligo spp.,Loligo squid
Macrozoarces americanus,Ocean pout
Merluccius bilinearis,Silver hake
Miscellaneous,Inorganic material
Mollusca,Unclassified molluscs
Mysidacea,Mysid shrimps
Ophiuroidea,Brittle stars
Other hakes,"Red, white, and spotted hake"
Other,Unidentified organic material
Other fish,Other fish
Other invertebrates,Other invertebrates
Paguroidea,Hermit crabs
Pandalidae,Pandalid shrimps
Peprilus triacanthus,Butterfish
Pleuronectiformes,Flatfish
Polychaeta,Polychaete worms
Rajiformes,"Rays, skates"
Scombridae,Mackerels
Unidentified fish,Unidentified fish remains
Worms,Assorted worms
Zooplankton,Zooplankton
